rank, word, likelyhood 
290, DAIRY, 4.425024384e-06
291, SPOTS, 4.422748329999999e-06
292, GIVES, 4.420830960000001e-06
293, BLADE, 4.417686e-06
294, FLEET, 4.41735294e-06
295, FORTY, 4.37217645e-06
296, PRICE, 4.30996608e-06
297, SEVEN, 4.308010434e-06
298, SALON, 4.292065330000001e-06
299, WIRED, 4.2771456e-06
300, RATED, 4.265858687999999e-06
301, CONST, 4.24906398e-06
302, SHAKE, 4.2472356e-06
303, BERRY, 4.198142520000001e-06
304, CANDY, 4.192828920000001e-06
305, NAMES, 4.1700568e-06
306, ALONE, 4.15919595e-06
307, WATER, 4.15425192e-06
308, PETER, 4.147411086e-06
309, NODES, 4.14687e-06
310, TRACY, 4.1424432e-06
311, COVER, 4.13358309e-06
312, ALIEN, 4.11308352e-06
313, BUTTS, 4.082641289999999e-06
314, BRAKE, 4.0811003999999995e-06
315, SUNNY, 4.077330936e-06
316, HOPES, 4.0708440499999995e-06
317, STATE, 4.0531414999999996e-06
318, SOCKS, 4.051173e-06
319, BOOBS, 4.04319825e-06
320, TERRY, 4.0366755e-06
321, PLACE, 4.0174512e-06
322, TITLE, 4.013266499999999e-06
323, ROOMS, 4.012096724999999e-06
324, COACH, 4.01036832e-06
325, METER, 4.00188789e-06
326, WINDS, 4.000752e-06
327, DAVIS, 4.000136805e-06
328, LARRY, 3.994813680000001e-06
329, TRACT, 3.9908904e-06
330, TUBES, 3.946214999999999e-06
331, SHIRT, 3.941283456000001e-06
332, BRAIN, 3.930052776e-06
333, ARISE, 3.925147679999999e-06
334, DEALT, 3.916333044000001e-06
335, WORSE, 3.897165e-06
336, WORKS, 3.87345e-06
337, PIECE, 3.848977439999999e-06
338, HILLS, 3.847019400000001e-06
339, WRITE, 3.8346816e-06
340, SHAME, 3.82251204e-06
341, CLOSE, 3.81559815e-06
342, TRAIN, 3.7788968999999993e-06
343, COUNT, 3.76107624e-06
344, GROSS, 3.7499744099999994e-06
345, SHORT, 3.7360082760000007e-06
346, HOURS, 3.7294488000000007e-06
347, HOLDS, 3.7082587500000006e-06
348, DENSE, 3.70658106e-06
349, LASER, 3.7062443600000006e-06
350, SHIPS, 3.7039296000000005e-06
351, DIARY, 3.6963527040000003e-06
